index;q;r;shape;fuel_type;pos_label;factory_id;mass_fuel;mass_boron;mass_gd
1;-6;9;circle;7;1-1;193;3053.9;0.98;
2;-5;9;circle;8;1-2;217;3054.24;0.98;
3;-4;9;circle;8;1-3;209;3052.08;0.98;
4;-3;9;circle;7;1-4;201;3058.55;0.98;
5;-8;8;circle;8;2-1;216;3051.15;0.98;
6;-7;8;circle;7;2-2;198;3059.84;0.97;
7;-6;8;circle;6;2-3;160;3049.12;0.97;
8;-5;8;circle;6;2-4;175;3048.86;0.97;
9;-4;8;circle;6;2-5;174;3055.14;0.97;
10;-3;8;circle;6;2-6;169;3062.15;0.97;
11;-2;8;circle;6;2-7;167;3053.88;0.97;
12;-1;8;circle;10;2-8;239;2043;0.97;
13;0;8;circle;8;2-9;203;3058.55;0.98;
14;-8;7;circle;10;3-1;241;2044.2;0.97;
15;-7;7;circle;6;3-2;135;3048.12;0.98;
16;-6;7;circle;6;3-3;142;3059.82;0.98;
17;-5;7;circle;5;3-4;115;3046.48;0.98;
18;-4;7;circle;5;3-5;129;3049.71;0.98;
19;-3;7;circle;5;3-6;111;3052.98;0.98;
20;-2;7;circle;5;3-7;112;3062.16;0.98;
21;-1;7;circle;6;3-8;143;3047.38;0.98;
22;0;7;circle;6;3-9;164;3051.36;0.97;
23;1;7;circle;7;3-10;186;3057.66;0.98;
24;-9;6;circle;7;4-1;180;3058.2;0.98;
25;-8;6;circle;6;4-2;141;3051.55;0.98;
26;-7;6;circle;6;4-3;134;3036.96;0.98;
27;-6;6;circle;5;4-4;120;3052.98;0.98;
28;-5;6;circle;4;4-5;68;2884.96;0.97;
29;-4;6;circle;4;4-6;69;2884.96;0.97;
30;-3;6;circle;4;4-7;73;2878.56;0.97;
31;-2;6;circle;4;4-8;67;2884.55;0.97;
32;-1;6;circle;4;4-9;45;2878.99;0.97;
33;0;6;circle;5;4-10;117;3052.98;0.98;
34;1;6;circle;6;4-11;173;3045.24;0.97;
35;2;6;circle;6;4-12;146;3048.07;0.98;
36;3;6;circle;10;4-13;240;2043;0.97;
37;-9;5;circle;8;5-1;206;3056.58;0.98;
38;-8;5;circle;6;5-2;152;3044.58;0.98;
39;-7;5;circle;5;5-3;109;3049.88;0.98;
40;-6;5;circle;4;5-4;81;2883.5;0.97;
41;-5;5;circle;9;5-5;234;1873.71;0.97;
42;-4;5;circle;9;5-6;237;1872.35;0.97;
43;-3;5;circle;4;5-7;43;2879.88;0.97;
44;-2;5;circle;4;5-8;98;2889.27;0.97;
45;-1;5;circle;4;5-9;48;2883.84;0.98;
46;0;5;circle;4;5-10;47;2880.93;0.98;
47;1;5;circle;4;5-11;105;2881.71;0.97;
48;2;5;circle;5;5-12;128;3044.96;0.98;
49;3;5;circle;6;5-13;153;3038.9;0.98;
50;4;5;circle;8;5-14;204;3057.41;0.98;
51;-9;4;circle;8;6-1;214;3054.24;0.98;
52;-8;4;circle;6;6-2;178;3053.97;0.98;
53;-7;4;circle;5;6-3;130;3055.09;0.98;
54;-6;4;circle;4;6-4;91;2881.03;0.97;
55;-5;4;circle;4;6-5;85;2882.52;0.97;
56;-4;4;circle;9;6-6;232;1872.75;0.97;
57;-3;4;circle;9;6-7;224;1864.5;0.97;
58;-2;4;circle;4;6-8;72;2879.28;0.97;
59;-1;4;circle;4;6-9;83;2878.22;0.97;
60;0;4;circle;4;6-10;104;2885.77;0.97;
61;1;4;circle;4;6-11;58;2889.72;0.97;
62;2;4;circle;4;6-12;70;2881.93;0.97;
63;3;4;circle;5;6-13;132;3041.28;0.98;
64;4;4;circle;6;6-14;137;3048.12;0.98;
65;5;4;circle;8;6-15;212;3054.78;0.98;
66;-9;3;circle;7;7-1;192;3051.84;0.98;
67;-8;3;circle;6;7-2;140;3056.22;0.98;
68;-7;3;circle;5;7-3;222;3052.55;0.97;
69;-6;3;circle;4;7-4;42;2879.03;0.97;
70;-5;3;circle;4;7-5;84;2875.26;0.97;
71;-4;3;circle;4;7-6;41;2880.48;0.97;
72;-3;3;circle;3;7-7;26;2881.66;0.98;
73;-2;3;circle;3;7-8;19;2886.3;0.98;
74;-1;3;circle;3;7-9;18;2891.44;0.98;
75;0;3;circle;3;7-10;15;2886.79;0.98;
76;1;3;circle;4;7-11;79;2876.76;0.97;
77;2;3;circle;4;7-12;87;2872.56;0.98;
78;3;3;circle;4;7-13;93;2875.54;0.97;
79;4;3;circle;5;7-14;124;3052.46;0.98;
80;5;3;circle;6;7-15;144;3042.72;0.98;
81;6;3;circle;7;7-16;190;3051.24;0.98;
82;-8;2;circle;6;8-1;179;3056.11;0.98;
83;-7;2;circle;5;8-2;127;3047.27;0.98;
84;-6;2;circle;4;8-3;63;2879.79;0.97;
85;-5;2;circle;4;8-4;101;2885.14;0.97;
86;-4;2;circle;4;8-5;102;2879.77;0.97;
87;-3;2;circle;3;8-6;31;2876.91;0.98;
88;-2;2;circle;2;8-7;9;2888.21;0.98;
89;-1;2;circle;2;8-8;7;2883.8;0.98;
90;0;2;circle;2;8-9;37;2894.25;0.97;
91;1;2;circle;3;8-10;33;2871.03;0.98;
92;2;2;circle;4;8-11;71;2880.72;0.97;
93;3;2;circle;9;8-12;230;1873.71;0.97;
94;4;2;circle;4;8-13;44;2879.37;0.97;
95;5;2;circle;5;8-14;131;3052.62;0.98;
96;6;2;circle;6;8-15;139;3055.68;0.98;
97;-8;1;circle;7;9-1;191;3048.81;0.98;
98;-7;1;circle;6;9-2;136;3044.4;0.98;
99;-6;1;circle;4;9-3;65;2881.7;0.97;
100;-5;1;circle;4;9-4;82;2879.58;0.97;
101;-4;1;circle;4;9-5;100;2884.23;0.97;
102;-3;1;circle;3;9-6;30;2879.16;0.98;
103;-2;1;circle;2;9-7;1;2888.39;0.98;
104;-1;1;circle;ЦО-1;9-8;17;2882.1;0.98;
105;0;1;circle;ЦО-1;9-9;21;2881.44;0.98;
106;1;1;circle;2;9-10;2;2888.31;0.98;
107;2;1;circle;3;9-11;35;2871.75;0.98;
108;3;1;circle;9;9-12;231;1872.75;0.97;
109;4;1;circle;9;9-13;236;1872.35;0.97;
110;5;1;circle;4;9-14;92;2866.08;0.97;
111;6;1;circle;6;9-15;176;3057.8;0.97;
112;7;1;circle;11;9-16;196;3057.12;0.98;
113;-8;0;circle;8;10-1;208;3055.87;0.98;
114;-7;0;circle;6;10-2;157;3048.24;0.97;
115;-6;0;circle;5;10-3;121;3053.3;0.98;
116;-5;0;circle;4;10-4;61;2888.82;0.97;
117;-4;0;circle;9;10-5;229;1874.64;0.97;
118;-3;0;circle;3;10-6;16;2886.31;0.98;
119;-2;0;circle;2;10-7;3;2882.92;0.98;
120;-1;0;circle;ЦО-1;10-8;22;2879.06;0.98;
121;0;0;circle;ЦО-1;10-9;36;2870.79;0.98;
122;1;0;circle;ЦО-1;10-10;24;2891.18;0.98;
123;2;0;circle;2;10-11;4;2878.08;0.98;
124;3;0;circle;3;10-12;28;2879.16;0.98;
125;4;0;circle;9;10-13;227;1886.75;0.97;
126;5;0;circle;4;10-14;53;2880.65;0.97;
127;6;0;circle;6;10-15;119;3053.28;0.98;
128;7;0;circle;6;10-16;177;3064.11;0.97;
129;8;0;circle;8;10-17;205;3058.43;0.98;
130;-7;-1;circle;7;11-1;202;3058.56;0.98;
131;-6;-1;circle;6;11-2;154;3043.44;0.97;
132;-5;-1;circle;4;11-3;38;2885.96;0.97;
133;-4;-1;circle;9;11-4;235;1873.71;0.96;
134;-3;-1;circle;9;11-5;233;1873.77;0.97;
135;-2;-1;circle;3;11-6;14;2886.61;0.98;
136;-1;-1;circle;2;11-7;8;2888.38;0.98;
137;0;-1;circle;ЦО-1;11-8;23;2886.6;0.98;
138;1;-1;circle;ЦО-1;11-9;20;2891.11;0.98;
139;2;-1;circle;2;11-10;10;2888.38;0.98;
140;3;-1;circle;3;11-11;25;2890.06;0.98;
141;4;-1;circle;4;11-12;75;2883.23;0.97;
142;5;-1;circle;4;11-13;54;2879.47;0.97;
143;6;-1;circle;4;11-14;74;2883.83;0.97;
144;7;-1;circle;6;11-15;170;3055.84;0.97;
145;8;-1;circle;7;11-16;184;3048.48;0.98;
146;-6;-2;circle;6;12-1;148;3047.88;0.98;
147;-5;-2;circle;5;12-2;118;3054.4;0.98;
148;-4;-2;circle;4;12-3;40;2879.88;0.97;
149;-3;-2;circle;9;12-4;223;1861.14;0.97;
150;-2;-2;circle;4;12-5;94;2890.97;0.97;
151;-1;-2;circle;3;12-6;32;2878.62;0.98;
152;0;-2;circle;2;12-7;11;2889.26;0.98;
153;1;-2;circle;2;12-8;5;2883.55;0.98;
154;2;-2;circle;2;12-9;6;2882.67;0.98;
155;3;-2;circle;3;12-10;27;2879.16;0.98;
156;4;-2;circle;4;12-11;55;2881.59;0.97;
157;5;-2;circle;4;12-12;57;2886.87;0.97;
158;6;-2;circle;4;12-13;97;2882.01;0.97;
159;7;-2;circle;5;12-14;123;3048.78;0.98;
160;8;-2;circle;6;12-15;168;3052.68;0.97;
161;-6;-3;circle;7;13-1;185;3045.64;0.98;
162;-5;-3;circle;6;13-2;145;3046.16;0.98;
163;-4;-3;circle;5;13-3;126;3049;0.98;
164;-3;-3;circle;4;13-4;50;2877.87;0.97;
165;-2;-3;circle;4;13-5;99;2883.79;0.97;
166;-1;-3;circle;4;13-6;76;2893.11;0.97;
167;0;-3;circle;3;13-7;29;2879.16;0.98;
168;1;-3;circle;3;13-8;12;2886.72;0.98;
169;2;-3;circle;3;13-9;34;2871.15;0.98;
170;3;-3;circle;3;13-10;13;2887.04;0.98;
171;4;-3;circle;4;13-11;90;2882.23;0.97;
172;5;-3;circle;4;13-12;64;2875.26;0.97;
173;6;-3;circle;4;13-13;95;2890.97;0.97;
174;7;-3;circle;5;13-14;221;3054.36;0.98;
175;8;-3;circle;6;13-15;138;3050.02;0.98;
176;9;-3;circle;7;13-16;187;3053.44;0.98;
177;-5;-4;circle;8;14-1;220;3055.93;0.98;
178;-4;-4;circle;6;14-2;149;3049.56;0.98;
179;-3;-4;circle;5;14-3;113;3062.16;0.98;
180;-2;-4;circle;4;14-4;66;2881.7;0.97;
181;-1;-4;circle;4;14-5;60;2883.42;0.98;
182;0;-4;circle;4;14-6;103;2880.17;0.97;
183;1;-4;circle;4;14-7;51;2887.08;0.97;
184;2;-4;circle;4;14-8;96;2883.54;0.97;
185;3;-4;circle;9;14-9;226;1864.29;0.97;
186;4;-4;circle;9;14-10;225;1863.45;0.97;
187;5;-4;circle;4;14-11;52;2884.31;0.97;
188;6;-4;circle;4;14-12;77;2887.84;0.97;
189;7;-4;circle;5;14-13;107;3048.84;0.98;
190;8;-4;circle;6;14-14;172;3052.44;0.97;
191;9;-4;circle;8;14-15;219;3056.34;0.98;
192;-4;-5;circle;8;15-1;213;3053.1;0.98;
193;-3;-5;circle;6;15-2;151;3054.54;0.98;
194;-2;-5;circle;5;15-3;114;3054.93;0.98;
195;-1;-5;circle;4;15-4;39;2880.9;0.97;
196;0;-5;circle;4;15-5;46;2881.55;0.98;
197;1;-5;circle;4;15-6;59;2879.92;0.98;
198;2;-5;circle;4;15-7;49;2879.57;0.98;
199;3;-5;circle;4;15-8;56;2880.93;0.97;
200;4;-5;circle;9;15-9;238;1872.67;0.97;
201;5;-5;circle;9;15-10;228;1868.12;0.97;
202;6;-5;circle;4;15-11;80;2877.38;0.97;
203;7;-5;circle;5;15-12;106;3049.23;0.98;
204;8;-5;circle;6;15-13;171;3051.43;0.97;
205;9;-5;circle;8;15-14;218;3056.34;0.98;
206;-3;-6;circle;7;16-1;188;3050.55;0.98;
207;-2;-6;circle;6;16-2;150;3052.46;0.98;
208;-1;-6;circle;6;16-3;155;3043.44;0.97;
209;0;-6;circle;5;16-4;133;3038.16;0.98;
210;1;-6;circle;4;16-5;89;2884.29;0.97;
211;2;-6;circle;4;16-6;88;2886;0.97;
212;3;-6;circle;4;16-7;86;2885.66;0.97;
213;4;-6;circle;4;16-8;62;2888.28;0.97;
214;5;-6;circle;4;16-9;78;2886.14;0.97;
215;6;-6;circle;5;16-10;116;3051.48;0.98;
216;7;-6;circle;6;16-11;162;3050.28;0.97;
217;8;-6;circle;6;16-12;200;3057.12;0.98;
218;9;-6;circle;7;16-13;183;3055.32;0.98;
219;-1;-7;circle;7;17-1;194;3057.3;0.98;
220;0;-7;circle;6;17-2;156;3046.03;0.97;
221;1;-7;circle;6;17-3;199;3057.37;0.98;
222;2;-7;circle;5;17-4;110;3053.52;0.98;
223;3;-7;circle;5;17-5;108;3048.84;0.98;
224;4;-7;circle;5;17-6;122;3041.64;0.98;
225;5;-7;circle;5;17-7;125;3051.78;0.98;
226;6;-7;circle;6;17-8;158;3038.76;0.97;
227;7;-7;circle;6;17-9;159;3050.28;0.97;
228;8;-7;circle;7;17-10;182;3055.32;0.98;
229;0;-8;circle;8;18-1;207;3057.24;0.98;
230;1;-8;circle;7;18-2;195;3056.45;0.98;
231;2;-8;circle;6;18-3;161;3050.28;0.97;
232;3;-8;circle;6;18-4;166;3053.88;0.97;
233;4;-8;circle;6;18-5;163;3050.28;0.97;
234;5;-8;circle;6;18-6;165;3047.51;0.97;
235;6;-8;circle;6;18-7;147;3039.84;0.98;
236;7;-8;circle;7;18-8;197;3057.07;0.98;
237;8;-8;circle;8;18-9;210;3055.6;0.98;
238;3;-9;circle;7;19-1;189;3049.2;0.98;
239;4;-9;circle;8;19-2;211;3054.87;0.98;
240;5;-9;circle;8;19-3;215;3052.68;0.98;
241;6;-9;circle;7;19-4;181;3057.22;0.98;
