# Соответствие регистрационной зоны MCU
# ячейке а.з. и участку ТВС по высоте
RegZone	Cell	Pitch
20	13-1	0
21	13-1	1
22	13-1	2
23	13-1	3
24	13-1	4
25	13-1	5
26	13-1	6
27	13-1	7
28	13-1	8
29	13-1	9
30	14-1	0
31	14-1	1
32	14-1	2
33	14-1	3
34	14-1	4
35	14-1	5
36	14-1	6
37	14-1	7
38	14-1	8
39	14-1	9
40	15-1	0
41	15-1	1
42	15-1	2
43	15-1	3
44	15-1	4
45	15-1	5
46	15-1	6
47	15-1	7
48	15-1	8
49	15-1	9
50	16-1	0
51	16-1	1
52	16-1	2
53	16-1	3
54	16-1	4
55	16-1	5
56	16-1	6
57	16-1	7
58	16-1	8
59	16-1	9
60	10-1	0
61	10-1	1
62	10-1	2
63	10-1	3
64	10-1	4
65	10-1	5
66	10-1	6
67	10-1	7
68	10-1	8
69	10-1	9
70	11-1	0
71	11-1	1
72	11-1	2
73	11-1	3
74	11-1	4
75	11-1	5
76	11-1	6
77	11-1	7
78	11-1	8
79	11-1	9
80	12-1	0
81	12-1	1
82	12-1	2
83	12-1	3
84	12-1	4
85	12-1	5
86	12-1	6
87	12-1	7
88	12-1	8
89	12-1	9
90	13-2	0
91	13-2	1
92	13-2	2
93	13-2	3
94	13-2	4
95	13-2	5
96	13-2	6
97	13-2	7
98	13-2	8
99	13-2	9
100	14-2	0
101	14-2	1
102	14-2	2
103	14-2	3
104	14-2	4
105	14-2	5
106	14-2	6
107	14-2	7
108	14-2	8
109	14-2	9
110	15-2	0
111	15-2	1
112	15-2	2
113	15-2	3
114	15-2	4
115	15-2	5
116	15-2	6
117	15-2	7
118	15-2	8
119	15-2	9
120	16-2	0
121	16-2	1
122	16-2	2
123	16-2	3
124	16-2	4
125	16-2	5
126	16-2	6
127	16-2	7
128	16-2	8
129	16-2	9
130	17-1	0
131	17-1	1
132	17-1	2
133	17-1	3
134	17-1	4
135	17-1	5
136	17-1	6
137	17-1	7
138	17-1	8
139	17-1	9
140	18-1	0
141	18-1	1
142	18-1	2
143	18-1	3
144	18-1	4
145	18-1	5
146	18-1	6
147	18-1	7
148	18-1	8
149	18-1	9
150	9-1	0
151	9-1	1
152	9-1	2
153	9-1	3
154	9-1	4
155	9-1	5
156	9-1	6
157	9-1	7
158	9-1	8
159	9-1	9
160	10-2	0
161	10-2	1
162	10-2	2
163	10-2	3
164	10-2	4
165	10-2	5
166	10-2	6
167	10-2	7
168	10-2	8
169	10-2	9
170	11-2	0
171	11-2	1
172	11-2	2
173	11-2	3
174	11-2	4
175	11-2	5
176	11-2	6
177	11-2	7
178	11-2	8
179	11-2	9
180	12-2	0
181	12-2	1
182	12-2	2
183	12-2	3
184	12-2	4
185	12-2	5
186	12-2	6
187	12-2	7
188	12-2	8
189	12-2	9
190	13-3	0
191	13-3	1
192	13-3	2
193	13-3	3
194	13-3	4
195	13-3	5
196	13-3	6
197	13-3	7
198	13-3	8
