# Cell	IntegralPower_allTime(W*hr)	IntegralPower_last2h(W*hr)
1-1	1.935782e-02	3.607628e-04
1-2	2.314176e-02	4.330512e-04
1-3	2.328845e-02	4.375670e-04
1-4	1.962388e-02	3.697553e-04
2-1	1.753521e-02	3.241564e-04
2-2	2.317780e-02	4.300989e-04
2-3	2.482184e-02	4.614718e-04
2-4	2.425843e-02	4.520299e-04
2-5	2.524441e-02	4.723761e-04
2-6	2.475591e-02	4.649216e-04
2-7	2.545878e-02	4.809644e-04
2-8	1.925493e-02	3.661291e-04
2-9	1.832371e-02	3.489468e-04
3-1	1.845752e-02	3.406996e-04
3-2	2.293701e-02	4.236818e-04
3-3	2.589253e-02	4.796594e-04
3-4	2.857980e-02	5.301973e-04
3-5	3.029077e-02	5.638252e-04
3-6	3.092639e-02	5.776393e-04
3-7	3.021840e-02	5.673161e-04
3-8	2.750931e-02	5.196176e-04
3-9	2.432301e-02	4.618524e-04
3-10	2.408122e-02	4.583062e-04
4-1	1.941324e-02	3.566149e-04
4-2	2.483152e-02	4.571649e-04
4-3	2.596789e-02	4.785842e-04
4-4	2.844772e-02	5.252760e-04
4-5	3.010077e-02	5.559691e-04
4-6	3.176551e-02	5.870589e-04
4-7	3.322892e-02	6.154790e-04
4-8	3.383716e-02	6.288754e-04
4-9	3.306705e-02	6.176552e-04
4-10	3.106440e-02	5.840766e-04
4-11	2.755585e-02	5.218331e-04
4-12	2.541336e-02	4.820711e-04
4-13	1.558805e-02	2.949890e-04
5-1	2.348519e-02	4.312687e-04
5-2	2.454449e-02	4.505410e-04
5-3	2.897770e-02	5.323139e-04
5-4	3.051808e-02	5.613764e-04
5-5	2.166104e-02	3.980343e-04
5-6	2.191141e-02	4.013068e-04
5-7	3.062567e-02	5.601475e-04
5-8	3.200231e-02	5.865506e-04
5-9	3.279293e-02	6.037016e-04
5-10	3.274362e-02	6.066070e-04
5-11	3.300461e-02	6.175037e-04
5-12	3.009859e-02	5.673825e-04
5-13	2.453614e-02	4.631740e-04
5-14	2.301976e-02	4.348860e-04
6-1	2.382902e-02	4.375648e-04
6-2	2.568065e-02	4.707902e-04
6-3	3.081486e-02	5.648087e-04
6-4	3.245627e-02	5.956288e-04
6-5	3.000233e-02	5.485154e-04
6-6	2.134905e-02	3.869550e-04
6-7	2.057053e-02	3.699424e-04
6-8	2.865627e-02	5.145513e-04
6-9	3.005282e-02	5.420233e-04
6-10	3.208767e-02	5.846517e-04
6-11	3.266327e-02	6.017433e-04
6-12	3.363029e-02	6.269131e-04
6-13	3.079093e-02	5.781591e-04
6-14	2.517403e-02	4.734537e-04
6-15	2.324570e-02	4.381136e-04
7-1	2.024550e-02	3.712193e-04
7-2	2.531527e-02	4.639555e-04
